Title,UID,Year,Series,Non-theatrical name (P53),aka,Type,sound/silent,BFI Identifier,BFI link,BFI synopsis,producer,Director,camera/photographer,editor,narrator,Consultant,story,music,gifford_desc,gifford_code,length,Comments,format,Related,From field: Related,Screenings,Sources,Images,Qcodes,BIF_catalogue_1926
Father Of The Family ,SOL_0040,1939,Secrets of Life,,,Film,sound,16530,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150015861,"Educational film which centres on the male stickleback, the father of the family. We learn where sticklebacks can be found in nature, how they reproduce, and that the male stickleback takes over responsibilities such as building a house and protecting the family against enemies. (NFA Catalogue)",,Mary Field,J.V. Durden,J.V. Durden,E.V.H. Emmett,,,Jack Beaver,,7519.5,780,"""Reissued in 1951 as The Stickleback Family"". Dufayolor. ",colour,,,,,,Q717,
Ducks And Drakes ,SOL_0041,1939,Secrets of Life,,,Film,sound,12558,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150000170,"INTEREST. A look at some of the species of ducks which live on our lakes and ponds: Species seen: Tufted duck, Ruddy Sheldrake, Caroline, male and female Mallards, Widgeon - in their natural home, on a large lake. A crested Greve sitting on its nest, built on an island. Other nesting ducks, colouring acts as natural comouflage. Enemie's which attack eggs - man, polecat, otter. Peaceful scene really a jungle where survival is hard. Ducklings hatched, cluster round mother, who leads them to water. On the lake, ducklings swimming, danger from pike lurking below surface of water. Time passes, ducklings grow. Still gather in groups - safer. Pike still waits in lake (858 ft). (Shotlist)",,Mary Field,J.V. Durden,J.V. Durden,E.V.H. Emmett,,,Jack Beaver,,7519.6,841,Dufaycolor.,colour,,,,,,Q718,
House Painter ,SOL_0042,1939,Secrets of Life,,The House Painter,Film,sound,197056,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150202890,Secrets of Life of Burnet moth - in Dufaycolor.,,Mary Field,J. V. Durden,J.V. Durden,E.V.H. Emmett,,,Jack Beaver,,7519.1,979,"Dufaycolor. ""About the Burnett Moth""",colour,,,,,,Q719,
Old Blue,SOL_0043,1939,Secrets of Life,,Life Story Of The Lupin,Film,sound,246876,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150249635,The life story of the Lupin. (Synopsis),,Mary Field,J.V. Durden,J.V. Durden,E.V.H. Emmett,,,Jack Beaver,,7519.2,897,Dufaycolor.,colour,,,,,,Q720,
Water Baby ,SOL_0044,1939,Secrets of Life,,,Film,sound,318650,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150324617,The Newt. (Synopsis),,Mary Field,J.V. Durden,J.V. Durden,E.V.H. Emmett,,,Jack Beaver,,1519.4,873,Dufaycolor.,colour,,,,,,Q721,
Babes In The Wood ,SOL_0037,1940,Secrets of Life,,,Film,sound,13321,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150003717,"Young animal life, foxes, weasels, stoats - with Emmett commentary (Synopsis) INTEREST. Various animals in their forest habitat, accompanied by humorous commentary. Nightingale, squirrel. Man walking in the forest finds nest of field mice and a sleeping dormouse. Badger, fox cubs, rabbits, polecat, weasel. The man finds a family of young stoats. Weasel, hedgehog. Woman walking with her dog, which finds the hedgehog. Hedgehog climbs up bank to its nest, where two young hedgehog are visible. Fox cubs in their lair, and playing by a pond. Two badgers dig a hole. The man and the woman embrace. The End. (1457). (NFA Catalogue)",,Mary Field,,J.V. Durden,E.V.H. Emmett,,,,Woodland animals,7596,,,bw,,,,,,Q714,
Hereford Herd,SOL_0045,1940,Secrets of Life,Hereford Pedigree Cattle,,Film,sound,13271,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150002972,"Opening with views of typical Hereford scenery, it goes on to show how cows and bulls are selected for breeding and selling. (Synopsis) Judging prize bulls and other aspects of cattle breeding. Notice is given of a Young Farmers class at which Hereford Bulls will be judged (120). Five bulls are brought out and a group of young farmers give their opinions (460). The judge tells them his final placings and, as the bulls are apraded, gives the points they shold look for in judging (534). A bull is sold and the ownership transfer is registered with the Hereford Herd Book Society (710). Hereford market day - the buses, cattle trucks, and herds of cattle on their way to market, and the market itself (880ft). (Shotlist)",,Mary Field,J. Rose; George Pocknall,,,,,,,,,BFI archive says 1937,,,,,,,Q722,
Wisdom Of The Wild ,SOL_0046,1940,Secrets of Life,,,Film,sound,14592,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150021098,The feeding and food storage habits of wild animals and birds; the film suggests that humans could eat more healthily and economically. (Synopsis),,Mary Field,Oliver G. Pike; F. Percy Smith; J. V. Durden,J.V. Durden,E. V. H. Emmett,,,,How nature conserves food,7717,1000,,,,,,,,Q723,
Down Somerset Way,SOL_0047,1942,Secrets of Life,,,Film,sound,161060,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150149983,,,Mary Field,,,,,,,,,,,,,,,,,Q724,
U-Boat In The Pond ,SOL_0048,1942,Secrets of Life,,,Film,sound,14336,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150021965,Instructional film about the water beetle; has a short sequence with 'point of view' shots that illustrate how the beetle perceives its surroundings. (NFA Catalogue) Secrets of Life short on the water beetle. (Synopsis),H. Bruce Woolfe,Mary Field,F. Percy Smith,J.V. Durden,Alan Howland,,,Jack Beaver,,8037.7,854,"""About the Dityscus Beetle"". Overriden credits based on the film in BFI archive. ",,,,,,,Q725,
